Trial,Discounted health benefit ($),Discounted income benefit ($),Total discounted benefit ($),Discounted costs ($),Benefit-cost ratio,,
559,"$19,283,581","$109,993,293","$129,276,874","$2,245,821",57.6,,
560,"$26,927,177","$198,889,642","$225,816,818","$3,188,266",70.8,,
561,"$13,836,369","$135,680,646","$149,517,015","$2,487,358",60.1,,
562,"$4,624,015","$29,238,239","$33,862,254","$2,513,110",13.5,,
563,"$6,707,695","$29,719,618","$36,427,313","$2,253,518",16.2,,
564,"$11,166,590","$56,238,974","$67,405,564","$2,938,869",22.9,,
565,"$67,765,666","$374,005,477","$441,771,143","$3,862,022",114.4,,
566,"$4,699,336","$33,507,039","$38,206,376","$1,715,184",22.3,,
567,"$8,810,244","$92,094,651","$100,904,894","$3,740,818",27.0,,
568,"$14,772,466","$179,299,256","$194,071,722","$3,299,609",58.8,,
569,"$33,632,648","$312,575,135","$346,207,783","$3,111,781",111.3,,
570,"$2,635,352","$23,701,415","$26,336,767","$2,160,184",12.2,,
571,"$9,207,075","$42,459,586","$51,666,660","$2,754,751",18.8,,
572,"$14,424,689","$216,013,766","$230,438,454","$3,125,525",73.7,,
573,"$8,900,023","$48,882,866","$57,782,890","$1,364,280",42.4,,
574,"$6,181,117","$43,355,630","$49,536,746","$1,397,705",35.4,,
575,"$29,740,491","$332,153,444","$361,893,935","$4,320,515",83.8,,
576,"$13,933,459","$237,170,051","$251,103,510","$1,760,309",142.6,,
577,"$39,810,232","$337,907,401","$377,717,633","$2,954,124",127.9,,
578,"$12,094,402","$98,571,078","$110,665,480","$2,973,228",37.2,,
579,"$13,203,570","$110,124,019","$123,327,589","$2,089,877",59.0,,
580,"$60,432,850","$332,109,863","$392,542,713","$6,281,805",62.5,,
581,"$8,200,803","$90,273,879","$98,474,683","$2,659,683",37.0,,
582,"$283,339","$3,988,791","$4,272,130","$1,095,806",3.9,,
583,"$12,138,518","$50,859,642","$62,998,160","$1,983,201",31.8,,
584,"$54,141,703","$208,230,083","$262,371,785","$3,551,479",73.9,,
585,"$2,249,552","$8,240,512","$10,490,065","$2,280,938",4.6,,
586,"$4,629,826","$57,901,029","$62,530,855","$1,206,996",51.8,,
587,"$21,806,501","$312,432,436","$334,238,937","$3,720,688",89.8,,
588,"$54,297,599","$285,258,792","$339,556,390","$4,407,833",77.0,,
589,"$21,712,540","$116,581,130","$138,293,669","$4,501,501",30.7,,
590,"$8,857,316","$71,078,948","$79,936,264","$2,253,475",35.5,,
591,"$50,401,212","$306,457,751","$356,858,963","$3,575,936",99.8,,
592,"$3,912,786","$46,899,872","$50,812,659","$2,671,322",19.0,,
593,"$11,444,144","$58,934,792","$70,378,936","$2,550,831",27.6,,
594,"$30,447,657","$390,266,503","$420,714,160","$3,193,962",131.7,,
595,"$3,844,537","$24,421,483","$28,266,020","$2,022,462",14.0,,
596,"$3,259,722","$31,824,516","$35,084,237","$1,283,251",27.3,,
597,"$12,832,974","$115,894,935","$128,727,909","$1,427,771",90.2,,
598,"$13,062,678","$155,412,113","$168,474,791","$1,943,757",86.7,,
599,"$12,726,130","$132,630,636","$145,356,766","$1,403,928",103.5,,
600,"$3,122,899","$14,075,145","$17,198,044","$996,504",17.3,,
601,"$3,849,867","$25,357,737","$29,207,605","$2,345,334",12.5,,
602,"$11,110,154","$119,833,577","$130,943,731","$1,548,478",84.6,,
603,"$30,126,449","$265,837,015","$295,963,464","$2,388,999",123.9,,
604,"$75,059,014","$535,161,243","$610,220,257","$3,164,724",192.8,,
605,"$1,190,871","$8,786,089","$9,976,960","$3,452,105",2.9,,
606,"$15,833,921","$146,121,589","$161,955,510","$2,502,265",64.7,,
607,"$14,019,494","$149,233,784","$163,253,278","$2,294,131",71.2,,
608,"$25,406,983","$294,837,100","$320,244,083","$2,195,304",145.9,,
609,"$68,001,448","$198,046,779","$266,048,227","$4,677,286",56.9,,
610,"$21,521,710","$180,667,966","$202,189,677","$3,241,546",62.4,,
611,"$6,384,225","$199,763,547","$206,147,772","$2,518,030",81.9,,
612,"$14,622,438","$126,384,436","$141,006,874","$2,217,337",63.6,,
613,"$15,310,084","$148,319,387","$163,629,471","$2,240,337",73.0,,
614,"$20,392,910","$184,045,793","$204,438,703","$2,328,555",87.8,,
615,"$22,163,525","$192,057,932","$214,221,457","$2,698,925",79.4,,
616,"$12,837,712","$171,566,795","$184,404,507","$1,657,994",111.2,,
617,"$18,342,356","$84,434,661","$102,777,016","$2,161,001",47.6,,
618,"$10,713,689","$36,911,220","$47,624,909","$3,525,758",13.5,,
619,"$9,987,251","$60,248,491","$70,235,742","$2,611,545",26.9,,
